Date and Time,input_4,input_3,input_2,input_1
2020-04-06 14:00:27+02:00,19.774,12.753,10.127,19.112
2020-04-06 14:00:57+02:00,17.197,12.455,11.64,18.712
2020-04-06 14:01:27+02:00,16.979,12.115,10.897,19.512
2020-04-06 14:01:57+02:00,18.527,12.547,8.922,19.312
2020-04-06 14:02:27+02:00,18.278,15.142,10.543,18.512
2020-04-06 14:02:57+02:00,16.415,13.37,11.899,18.512
2020-04-06 14:03:27+02:00,19.99,15.048,11.824,18.912
2020-04-06 14:03:57+02:00,16.171,14.081,10.592,19.512
2020-04-06 14:04:27+02:00,19.631,13.154,11.162,19.512
2020-04-06 14:04:57+02:00,17.518,14.049,10.079,18.912
2020-04-06 14:05:27+02:00,16.698,14.676,10.634,18.512
2020-04-06 14:05:57+02:00,19.882,15.01,11.948,18.112
2020-04-06 14:06:27+02:00,19.554,15.876,8.054,18.112
2020-04-06 14:06:58+02:00,18.064,14.937,8.569,17.812
2020-04-06 14:07:29+02:00,18.281,12.536,9.345,17.612
2020-04-06 14:07:59+02:00,16.093,12.45,9.172,18.012
2020-04-06 14:08:29+02:00,16.223,14.318,10.902,17.812
2020-04-06 14:08:59+02:00,19.922,14.893,11.965,18.212
2020-04-06 14:09:29+02:00,18.255,12.468,8.502,18.412
2020-04-06 14:09:59+02:00,19.281,14.905,8.913,17.412
2020-04-06 14:10:29+02:00,19.77,12.835,10.605,17.812
2020-04-06 14:10:59+02:00,19.425,14.347,10.777,17.612
2020-04-06 14:11:29+02:00,16.299,14.082,9.212,17.412
2020-04-06 14:11:59+02:00,19.537,13.883,11.524,16.612
2020-04-06 14:12:29+02:00,16.05,12.977,11.126,17.012
2020-04-06 14:12:59+02:00,18.503,14.637,10.374,15.812
2020-04-06 14:13:29+02:00,16.81,15.545,8.046,15.812
2020-04-06 14:13:59+02:00,18.673,15.127,8.853,15.012
2020-04-06 14:14:29+02:00,19.829,12.705,10.49,14.812
2020-04-06 14:14:59+02:00,16.112,12.676,9.498,14.612
2020-04-06 14:15:29+02:00,16.563,12.845,8.074,14.812
