Date and Time,input_4,input_3,input_1
2020-04-06 14:00:57+02:00,17.197,12.455,18.712
2020-04-06 14:03:57+02:00,16.171,14.081,19.512
2020-04-06 14:06:58+02:00,18.064,14.937,17.812
2020-04-06 14:09:59+02:00,19.281,14.905,17.412
2020-04-06 14:12:59+02:00,18.503,14.637,15.812
2020-04-06 14:15:59+02:00,16.591,14.643,14.812
2020-04-06 14:18:59+02:00,18.599,14.363,15.612
2020-04-06 14:21:59+02:00,18.707,13.517,15.212
2020-04-06 14:25:00+02:00,16.742,12.046,11.212
2020-04-06 14:28:00+02:00,17.157,13.76,10.812
2020-04-06 14:31:00+02:00,17.01,12.857,10.212
2020-04-06 14:34:00+02:00,18.17,14.36,12.212
2020-04-06 14:37:00+02:00,16.033,13.846,11.212
2020-04-06 14:40:01+02:00,19.076,12.846,12.212
2020-04-06 14:43:01+02:00,18.216,14.422,11.812
2020-04-06 14:46:01+02:00,19.283,14.337,11.212
2020-04-06 14:49:01+02:00,17.534,12.218,11.212
2020-04-06 14:52:02+02:00,18.969,15.601,12.412
2020-04-06 14:55:02+02:00,18.844,14.739,11.612
2020-04-06 14:58:02+02:00,17.667,13.85,9.612
2020-04-06 15:01:02+02:00,18.831,14.936,11.212
2020-04-06 15:04:02+02:00,18.417,13.327,9.612
2020-04-06 15:07:03+02:00,19.278,14.388,9.012
2020-04-06 15:10:03+02:00,16.204,12.861,6.412
2020-04-06 15:13:04+02:00,17.077,12.884,4.712
2020-04-06 15:16:04+02:00,16.291,13.777,3.912
2020-04-06 15:19:04+02:00,18.283,14.258,5.112
2020-04-06 15:22:05+02:00,17.219,12.307,7.112
2020-04-06 15:25:05+02:00,16.69,15.479,10.512
2020-04-06 15:28:05+02:00,16.799,14.875,9.312
2020-04-06 15:31:05+02:00,16.478,14.689,11.712
2020-04-06 15:34:05+02:00,16.457,13.494,11.912
2020-04-06 15:37:06+02:00,19.533,15.234,8.712
2020-04-06 15:40:06+02:00,17.248,13.202,6.312
2020-04-06 15:43:06+02:00,19.419,14.236,4.712
2020-04-06 15:46:06+02:00,19.87,15.011,5.312
2020-04-06 15:49:06+02:00,19.762,12.59,5.312
2020-04-06 15:52:07+02:00,16.204,14.908,6.512
2020-04-06 15:55:07+02:00,17.257,14.14,7.712
2020-04-06 15:58:07+02:00,19.656,15.344,4.512
2020-04-06 16:01:07+02:00,18.728,15.753,3.912
2020-04-06 16:04:07+02:00,16.431,14.542,5.512
2020-04-06 16:07:08+02:00,19.181,14.755,6.312
2020-04-06 16:10:08+02:00,18.144,12.292,4.512
2020-04-06 16:13:08+02:00,18.759,15.982,5.112
2020-04-06 16:16:08+02:00,19.388,15.254,6.712
2020-04-06 16:19:08+02:00,16.98,15.954,4.512
2020-04-06 16:22:09+02:00,17.735,14.509,4.912
2020-04-06 16:25:09+02:00,16.315,13.679,6.912
2020-04-06 16:28:09+02:00,17.184,13.785,6.112
2020-04-06 16:31:09+02:00,17.352,12.05,5.712
2020-04-06 16:34:09+02:00,19.442,14.451,6.912
2020-04-06 16:37:10+02:00,18.183,12.708,6.312
2020-04-06 16:40:10+02:00,17.973,14.113,5.512
2020-04-06 16:43:10+02:00,19.106,12.967,6.512
2020-04-06 16:46:10+02:00,18.815,15.908,6.112
2020-04-06 16:49:10+02:00,16.854,12.07,4.912
2020-04-06 16:52:11+02:00,19.432,12.148,5.312
2020-04-06 16:55:11+02:00,16.195,14.558,4.512
2020-04-06 16:58:11+02:00,16.742,14.23,5.112
2020-04-06 17:01:11+02:00,19.452,12.909,6.112
2020-04-06 17:04:11+02:00,19.056,15.672,6.912
2020-04-06 17:07:12+02:00,16.712,13.273,5.712
2020-04-06 17:10:12+02:00,16.794,14.279,6.112
2020-04-06 17:13:12+02:00,18.708,15.574,4.112
2020-04-06 17:16:12+02:00,18.438,15.072,4.312
2020-04-06 17:19:12+02:00,16.843,15.374,4.112
2020-04-06 17:22:13+02:00,19.827,15.1,4.912
2020-04-06 17:25:13+02:00,16.779,15.779,6.712
2020-04-06 17:28:13+02:00,18.828,14.255,7.712
2020-04-06 17:31:13+02:00,18.105,15.037,9.512
2020-04-06 17:34:13+02:00,18.221,13.608,10.312
