Date and Time,input_4,input_3,input_1
2020-04-05 14:02:55+02:00,19.076,13.928,4.812
2020-04-05 14:05:57+02:00,19.472,15.127,4.012
2020-04-05 14:08:57+02:00,19.63,15.999,4.212
2020-04-05 14:12:01+02:00,18.106,15.78,5.212
2020-04-05 14:15:14+02:00,18.278,14.466,7.712
2020-04-05 14:18:17+02:00,18.672,15.914,7.112
2020-04-05 14:21:21+02:00,18.387,15.429,6.312
2020-04-05 14:24:28+02:00,19.358,15.892,6.612
2020-04-05 14:27:34+02:00,18.518,15.538,7.012
2020-04-05 14:31:35+02:00,17.153,15.258,8.512
2020-04-05 14:34:37+02:00,17.11,15.02,9.512
2020-04-05 14:37:40+02:00,19.445,13.351,8.312
2020-04-05 14:40:41+02:00,16.232,13.964,9.412
2020-04-05 14:43:43+02:00,18.577,12.439,8.212
2020-04-05 14:46:44+02:00,16.336,14.326,5.712
2020-04-05 14:49:44+02:00,18.374,13.467,4.912
2020-04-05 14:52:47+02:00,18.937,13.092,3.912
2020-04-05 14:55:48+02:00,17.53,13.824,5.612
2020-04-05 14:58:48+02:00,19.979,15.741,4.612
2020-04-05 15:01:49+02:00,16.241,15.349,6.112
2020-04-05 15:04:49+02:00,17.045,12.455,6.112
2020-04-05 15:08:13+02:00,19.628,14.756,4.112
2020-04-05 15:11:16+02:00,18.678,15.73,4.912
2020-04-05 15:14:17+02:00,19.566,14.375,7.412
2020-04-05 15:17:18+02:00,16.67,13.992,4.312
2020-04-05 15:20:22+02:00,18.563,14.197,7.212
2020-04-05 15:23:22+02:00,16.486,12.994,8.412
2020-04-05 15:26:24+02:00,19.677,14.144,9.012
2020-04-05 15:30:16+02:00,18.925,15.853,9.812
2020-04-05 15:34:01+02:00,17.905,14.255,10.812
2020-04-05 15:37:05+02:00,16.515,13.923,13.012
2020-04-05 15:40:05+02:00,19.037,12.441,14.612
2020-04-05 15:43:05+02:00,16.114,15.248,14.212
2020-04-05 15:46:07+02:00,16.801,14.213,15.012
2020-04-05 15:49:09+02:00,19.937,15.042,13.312
2020-04-05 15:52:09+02:00,17.71,12.599,14.312
2020-04-05 15:55:09+02:00,16.745,14.987,13.912
2020-04-05 15:58:09+02:00,17.989,15.996,16.112
2020-04-05 16:01:10+02:00,16.085,12.516,14.612
2020-04-05 16:04:11+02:00,16.07,12.391,15.212
2020-04-05 16:07:11+02:00,19.13,12.678,16.812
2020-04-05 16:10:11+02:00,19.093,15.868,18.012
2020-04-05 16:13:13+02:00,16.271,13.393,18.812
2020-04-05 16:16:13+02:00,17.071,13.85,17.812
2020-04-05 16:19:14+02:00,18.109,13.253,17.212
2020-04-05 16:22:14+02:00,17.261,12.419,15.612
2020-04-05 16:25:14+02:00,16.252,13.087,16.212
2020-04-05 16:28:14+02:00,19.392,15.198,16.612
2020-04-05 16:31:14+02:00,16.528,14.819,18.012
2020-04-05 16:34:15+02:00,16.344,14.809,16.812
2020-04-05 16:37:15+02:00,17.03,12.298,17.212
2020-04-05 16:40:15+02:00,19.582,13.531,18.812
2020-04-05 16:43:16+02:00,19.473,14.449,18.912
2020-04-05 16:46:16+02:00,16.536,12.303,18.712
2020-04-05 16:49:17+02:00,16.554,14.301,19.712
2020-04-05 16:52:17+02:00,16.68,14.182,19.912
2020-04-05 16:55:17+02:00,18.887,12.766,17.712
2020-04-05 16:58:17+02:00,18.265,15.017,19.512
2020-04-05 17:01:17+02:00,16.956,13.928,17.512
2020-04-05 17:04:18+02:00,19.476,14.301,17.112
2020-04-05 17:07:18+02:00,18.175,13.083,19.512
2020-04-05 17:10:18+02:00,16.967,13.993,19.912
2020-04-05 17:13:18+02:00,19.74,12.182,19.712
2020-04-05 17:16:19+02:00,19.212,13.433,16.912
2020-04-05 17:19:19+02:00,17.6,14.648,17.312
2020-04-05 17:22:20+02:00,17.106,12.491,17.212
2020-04-05 17:25:20+02:00,17.132,12.516,19.812
2020-04-05 17:28:24+02:00,18.856,15.888,19.012
2020-04-05 17:31:25+02:00,17.174,13.655,18.412
2020-04-05 17:34:25+02:00,16.461,12.247,16.412
2020-04-05 17:37:25+02:00,16.793,13.151,18.612
2020-04-05 17:40:25+02:00,19.46,13.69,19.012
2020-04-05 17:43:25+02:00,16.993,15.793,19.012
2020-04-05 17:46:26+02:00,19.782,13.866,17.812
2020-04-05 17:49:26+02:00,19.249,14.442,19.412
2020-04-05 17:52:26+02:00,17.123,15.384,19.412
2020-04-05 17:55:26+02:00,16.969,12.465,20.012
2020-04-05 17:58:26+02:00,19.799,15.844,19.612
2020-04-05 18:01:27+02:00,17.478,14.746,19.812
2020-04-05 18:04:27+02:00,16.412,15.668,17.612
2020-04-05 18:07:27+02:00,16.696,12.382,18.812
2020-04-05 18:10:27+02:00,17.041,15.917,19.612
2020-04-05 18:13:27+02:00,16.416,12.876,19.612
2020-04-05 18:16:28+02:00,18.742,14.071,18.612
2020-04-05 18:19:28+02:00,16.019,12.259,19.012
2020-04-05 18:22:28+02:00,19.424,13.494,18.412
2020-04-05 18:25:28+02:00,17.507,12.408,18.812
2020-04-05 18:28:29+02:00,16.401,12.063,18.812
2020-04-05 18:31:29+02:00,17.194,14.57,18.412
2020-04-05 18:34:30+02:00,18.201,13.16,16.512
2020-04-05 18:37:30+02:00,19.895,15.775,16.512
2020-04-05 18:40:30+02:00,18.772,13.99,16.712
2020-04-05 18:43:31+02:00,18.716,13.298,17.112
2020-04-05 18:46:31+02:00,18.011,14.097,18.312
2020-04-05 18:49:31+02:00,16.089,13.526,17.112
2020-04-05 18:52:31+02:00,19.158,13.067,17.912
2020-04-05 18:55:31+02:00,18.374,12.478,18.712
2020-04-05 18:58:32+02:00,19.625,12.167,19.712
2020-04-05 19:01:32+02:00,16.154,13.978,19.312
2020-04-05 19:04:32+02:00,18.374,14.527,19.912
2020-04-05 19:07:32+02:00,16.458,12.674,17.112
2020-04-05 19:10:32+02:00,19.297,13.368,14.112
2020-04-05 19:13:33+02:00,16.601,12.834,14.112
2020-04-05 19:16:33+02:00,16.979,14.767,12.712
2020-04-05 19:19:33+02:00,17.363,15.739,11.312
2020-04-05 19:22:33+02:00,16.834,14.046,11.712
2020-04-05 19:25:33+02:00,18.959,15.876,14.912
2020-04-05 19:28:34+02:00,16.264,12.772,12.312
2020-04-05 19:31:34+02:00,16.633,14.163,12.312
2020-04-05 19:34:34+02:00,16.291,13.958,10.912
2020-04-05 19:37:34+02:00,17.936,12.629,11.112
2020-04-05 19:40:35+02:00,19.045,14.676,10.712
2020-04-05 19:43:35+02:00,17.528,12.746,11.912
2020-04-05 19:46:35+02:00,18.78,15.746,12.112
2020-04-05 19:49:35+02:00,17.495,12.944,11.512
2020-04-05 19:52:35+02:00,16.855,14.817,11.912
2020-04-05 19:55:36+02:00,16.074,12.619,11.912
2020-04-05 19:58:36+02:00,18.447,15.475,10.112
2020-04-05 20:01:37+02:00,16.652,13.688,9.212
2020-04-05 20:04:37+02:00,18.729,14.312,10.412
2020-04-05 20:07:37+02:00,18.347,14.134,9.612
2020-04-05 20:10:38+02:00,19.881,14.651,10.812
2020-04-05 20:13:38+02:00,16.122,13.226,10.012
2020-04-05 20:16:39+02:00,16.736,15.952,7.912
2020-04-05 20:19:39+02:00,17.993,13.669,7.512
2020-04-05 20:22:39+02:00,17.145,14.07,7.312
2020-04-05 20:25:40+02:00,17.74,14.66,6.912
2020-04-05 20:28:40+02:00,17.52,12.891,5.112
2020-04-05 20:31:40+02:00,16.413,12.891,6.512
2020-04-05 20:34:40+02:00,19.694,14.081,6.512
2020-04-05 20:37:40+02:00,17.262,15.799,6.112
2020-04-05 20:40:41+02:00,18.586,14.01,4.512
2020-04-05 20:43:41+02:00,17.383,15.377,4.312
2020-04-05 20:46:41+02:00,17.558,14.794,6.712
2020-04-05 20:49:41+02:00,18.405,14.655,7.312
2020-04-05 20:52:41+02:00,18.069,13.947,7.512
2020-04-05 20:55:42+02:00,16.198,12.036,8.312
2020-04-05 20:58:42+02:00,16.215,13.494,7.312
2020-04-05 21:01:42+02:00,17.269,12.839,6.112
2020-04-05 21:04:42+02:00,17.792,12.431,5.112
2020-04-05 21:07:42+02:00,19.751,15.761,4.312
2020-04-05 21:10:43+02:00,18.377,14.141,6.912
2020-04-05 21:13:43+02:00,19.458,14.458,6.512
2020-04-05 21:16:43+02:00,16.761,14.666,5.712
2020-04-05 21:19:43+02:00,19.244,13.441,5.912
2020-04-05 21:22:43+02:00,16.969,15.507,7.712
2020-04-05 21:25:44+02:00,16.136,15.062,5.312
2020-04-05 21:28:44+02:00,19.711,13.367,6.112
2020-04-05 21:31:44+02:00,19.967,14.944,7.912
2020-04-05 21:34:44+02:00,16.472,15.406,6.512
2020-04-05 21:37:44+02:00,18.541,15.92,7.712
2020-04-05 21:40:45+02:00,18.856,14.728,8.512
2020-04-05 21:43:45+02:00,17.425,13.119,7.912
2020-04-05 21:46:45+02:00,17.618,15.412,9.912
2020-04-05 21:49:45+02:00,16.093,15.14,8.112
2020-04-05 21:52:45+02:00,18.212,14.129,10.512
2020-04-05 21:55:46+02:00,18.918,15.635,11.912
2020-04-05 21:58:46+02:00,16.311,13.705,11.312
2020-04-05 22:01:46+02:00,19.998,15.108,10.112
2020-04-05 22:04:46+02:00,16.876,13.67,11.312
2020-04-05 22:07:46+02:00,19.154,13.744,11.512
2020-04-05 22:10:47+02:00,19.884,12.294,10.412
2020-04-05 22:13:48+02:00,16.133,15.629,12.612
2020-04-05 22:16:50+02:00,18.369,13.233,13.012
2020-04-05 22:19:50+02:00,18.98,12.049,10.812
2020-04-05 22:22:50+02:00,17.73,14.446,12.212
2020-04-05 22:25:51+02:00,19.386,12.243,12.412
2020-04-05 22:28:51+02:00,16.932,14.081,12.012
2020-04-05 22:31:51+02:00,19.349,12.615,12.612
2020-04-05 22:34:51+02:00,16.631,12.566,13.612
2020-04-05 22:37:51+02:00,17.832,12.185,14.212
2020-04-05 22:40:52+02:00,19.199,13.077,13.012
2020-04-05 22:43:52+02:00,17.631,15.775,12.412
2020-04-05 22:46:52+02:00,17.562,13.923,12.412
2020-04-05 22:49:52+02:00,19.296,13.666,13.412
2020-04-05 22:52:52+02:00,17.045,13.058,13.212
2020-04-05 22:55:53+02:00,16.576,14.06,14.012
2020-04-05 22:58:53+02:00,18.375,13.191,13.612
2020-04-05 23:01:53+02:00,19.055,12.736,13.412
2020-04-05 23:04:54+02:00,16.495,13.263,11.912
2020-04-05 23:07:54+02:00,16.877,13.358,11.312
2020-04-05 23:10:54+02:00,19.606,13.835,10.512
2020-04-05 23:13:55+02:00,18.451,14.628,12.312
2020-04-05 23:16:55+02:00,16.603,14.701,13.912
2020-04-05 23:19:55+02:00,19.414,14.504,15.512
2020-04-05 23:22:55+02:00,19.914,14.754,16.312
2020-04-05 23:25:55+02:00,18.536,14.163,18.312
2020-04-05 23:28:56+02:00,17.536,14.666,18.112
2020-04-05 23:31:56+02:00,19.587,13.573,18.912
2020-04-05 23:34:58+02:00,18.524,15.44,16.712
2020-04-05 23:37:58+02:00,19.712,15.672,16.712
2020-04-05 23:40:58+02:00,17.24,12.846,16.312
2020-04-05 23:43:59+02:00,16.618,15.177,15.112
2020-04-05 23:46:59+02:00,17.887,15.456,16.712
2020-04-05 23:49:59+02:00,17.129,13.03,18.112
2020-04-05 23:52:59+02:00,18.952,12.01,19.112
2020-04-05 23:55:59+02:00,19.382,15.861,18.312
2020-04-05 23:59:00+02:00,18.055,14.445,18.912
2020-04-06 00:02:00+02:00,18.348,13.756,19.512
2020-04-06 00:05:00+02:00,16.462,12.857,19.912
2020-04-06 00:08:00+02:00,16.872,15.434,18.512
2020-04-06 00:11:01+02:00,17.782,14.636,17.912
2020-04-06 00:14:01+02:00,16.323,15.015,15.912
2020-04-06 00:17:03+02:00,18.399,15.271,16.512
2020-04-06 00:20:03+02:00,18.611,14.447,19.912
2020-04-06 00:23:03+02:00,17.34,12.12,19.712
2020-04-06 00:26:04+02:00,17.927,13.184,17.912
2020-04-06 00:29:04+02:00,18.104,12.947,18.112
2020-04-06 00:32:04+02:00,17.558,12.056,16.312
2020-04-06 00:35:04+02:00,18.845,12.754,17.112
2020-04-06 00:38:04+02:00,19.125,14.991,17.512
2020-04-06 00:41:06+02:00,17.132,13.414,18.012
2020-04-06 00:44:06+02:00,19.597,13.318,18.212
2020-04-06 00:47:06+02:00,18.75,14.028,18.612
2020-04-06 00:50:07+02:00,16.702,14.028,18.312
2020-04-06 00:53:07+02:00,19.387,13.641,19.512
2020-04-06 00:56:08+02:00,18.39,13.504,19.512
2020-04-06 00:59:08+02:00,16.581,14.714,16.912
2020-04-06 01:02:08+02:00,18.324,13.607,17.512
2020-04-06 01:05:08+02:00,19.586,14.544,17.712
2020-04-06 01:08:08+02:00,16.758,14.496,17.712
2020-04-06 01:11:09+02:00,16.74,14.716,18.912
2020-04-06 01:14:09+02:00,19.385,15.502,17.312
2020-04-06 01:17:09+02:00,18.666,14.364,17.112
