Date and Time,input_4,input_2
2020-04-09 14:00:29+02:00,17.878,8.633
2020-04-09 14:00:59+02:00,19.354,11.211
2020-04-09 14:01:29+02:00,17.174,11.079
2020-04-09 14:01:59+02:00,19.114,10.049
2020-04-09 14:02:30+02:00,17.705,10.812
2020-04-09 14:03:00+02:00,17.759,10.869
2020-04-09 14:03:30+02:00,19.847,10.458
2020-04-09 14:04:00+02:00,18.123,8.89
2020-04-09 14:04:30+02:00,18.614,10.528
2020-04-09 14:05:00+02:00,16.66,10.282
2020-04-09 14:05:30+02:00,19.955,11.589
2020-04-09 14:06:00+02:00,17.759,8.669
2020-04-09 14:06:30+02:00,17.599,10.651
2020-04-09 14:07:00+02:00,18.198,10.352
2020-04-09 14:07:30+02:00,18.748,10.01
2020-04-09 14:08:00+02:00,17.498,10.555
2020-04-09 14:08:30+02:00,18.94,11.408
2020-04-09 14:09:00+02:00,19.727,9.449
2020-04-09 14:09:30+02:00,19.177,10.448
2020-04-09 14:10:00+02:00,17.81,11.886
2020-04-09 14:10:30+02:00,19.436,10.547
2020-04-09 14:11:00+02:00,18.182,11.997
2020-04-09 14:11:30+02:00,18.788,9.836
2020-04-09 14:12:00+02:00,16.19,11.674
2020-04-09 14:12:30+02:00,17.539,8.877
2020-04-09 14:13:00+02:00,19.2,10.489
2020-04-09 14:13:30+02:00,19.942,9.691
2020-04-09 14:14:00+02:00,18.622,9.762
2020-04-09 14:14:30+02:00,17.55,11.589
2020-04-09 14:15:00+02:00,18.653,8.891
2020-04-09 14:15:30+02:00,19.356,11.338
2020-04-09 14:16:01+02:00,16.407,11.743
2020-04-09 14:16:31+02:00,18.621,9.785
2020-04-09 14:17:02+02:00,17.5,9.015
2020-04-09 14:17:32+02:00,19.296,9.59
2020-04-09 14:18:02+02:00,19.837,9.288
2020-04-09 14:18:32+02:00,18.658,8.281
2020-04-09 14:19:02+02:00,18.609,11.236
2020-04-09 14:19:32+02:00,18.186,10.827
2020-04-09 14:20:02+02:00,18.277,9.128
