Date and Time,input_4,input_3,input_2,input_1
2020-04-11 14:00:05+02:00,17.569,14.241,9.029,11.859
2020-04-11 14:00:35+02:00,16.752,15.816,11.518,12.259
2020-04-11 14:01:05+02:00,19.085,14.145,11.823,11.659
2020-04-11 14:01:35+02:00,18.999,14.894,11.809,12.059
2020-04-11 14:02:05+02:00,16.85,12.505,9.174,12.859
2020-04-11 14:02:35+02:00,18.901,13.096,10.059,13.459
2020-04-11 14:03:05+02:00,18.164,14.175,11.124,13.059
2020-04-11 14:03:36+02:00,19.334,13.736,10.563,12.859
2020-04-11 14:04:06+02:00,17.247,14.391,9.124,12.059
2020-04-11 14:04:36+02:00,16.611,13.354,10.847,11.859
2020-04-11 14:05:06+02:00,18.708,13.571,11.993,11.659
2020-04-11 14:05:36+02:00,16.522,13.522,11.823,12.059
2020-04-11 14:06:06+02:00,16.656,12.228,10.05,12.459
2020-04-11 14:06:36+02:00,16.932,14.812,10.711,12.259
2020-04-11 14:07:07+02:00,17.197,15.2,10.34,12.959
2020-04-11 14:07:37+02:00,19.947,12.129,9.329,12.159
2020-04-11 14:08:07+02:00,16.414,12.107,9.023,11.759
2020-04-11 14:08:37+02:00,19.677,15.586,9.743,11.359
2020-04-11 14:09:07+02:00,18.357,14.195,9.257,12.359
2020-04-11 14:09:37+02:00,19.968,15.476,11.923,12.159
2020-04-11 14:10:07+02:00,17.184,14.848,9.749,12.559
2020-04-11 14:10:37+02:00,19.046,12.482,9.957,11.959
2020-04-11 14:11:07+02:00,17.45,12.259,11.534,12.359
2020-04-11 14:11:37+02:00,19.741,12.497,9.145,13.559
2020-04-11 14:12:07+02:00,19.945,13.022,10.294,13.359
2020-04-11 14:12:37+02:00,19.325,14.19,9.035,14.159
2020-04-11 14:13:07+02:00,17.589,13.412,9.668,14.759
2020-04-11 14:13:37+02:00,18.528,15.827,10.353,14.559
2020-04-11 14:14:07+02:00,16.024,13.612,9.331,14.159
2020-04-11 14:14:37+02:00,18.545,12.814,8.386,14.759
2020-04-11 14:15:07+02:00,19.951,15.86,9.932,14.559
2020-04-11 14:15:37+02:00,19.881,14.587,8.665,14.359
2020-04-11 14:16:07+02:00,19.864,12.694,9.456,13.959
2020-04-11 14:16:37+02:00,18.042,14.523,11.247,13.759
2020-04-11 14:17:07+02:00,19.421,13.83,8.458,12.559
2020-04-11 14:17:37+02:00,18.235,13.795,8.568,13.559
2020-04-11 14:18:08+02:00,19.742,15.904,11.409,13.759
2020-04-11 14:18:38+02:00,16.101,12.822,11.239,14.159
2020-04-11 14:19:08+02:00,17.536,15.813,8.574,14.959
2020-04-11 14:19:38+02:00,17.599,12.201,11.375,15.559
2020-04-11 14:20:08+02:00,17.393,15.633,10.465,14.559
2020-04-11 14:20:38+02:00,18.909,12.795,8.604,14.759
2020-04-11 14:21:08+02:00,19.875,15.767,11.587,15.159
2020-04-11 14:21:38+02:00,16.663,12.974,8.099,16.159
2020-04-11 14:22:08+02:00,18.461,12.023,10.786,15.959
2020-04-11 14:22:38+02:00,19.89,14.86,9.469,15.759
2020-04-11 14:23:08+02:00,19.881,15.89,10.792,15.559
2020-04-11 14:23:38+02:00,19.294,15.95,9.847,15.159
2020-04-11 14:24:08+02:00,16.003,15.679,11.731,14.559
2020-04-11 14:24:38+02:00,16.326,13.887,8.36,14.159
2020-04-11 14:25:08+02:00,18.404,14.337,10.382,13.959
2020-04-11 14:25:38+02:00,16.449,12.676,10.651,13.559
2020-04-11 14:26:08+02:00,17.653,14.233,10.395,14.359
2020-04-11 14:26:38+02:00,18.028,12.64,10.515,13.559
2020-04-11 14:27:08+02:00,19.199,15.358,11.045,12.959
2020-04-11 14:27:38+02:00,18.228,13.812,9.538,13.359
2020-04-11 14:28:08+02:00,16.692,12.655,9.811,13.359
2020-04-11 14:28:38+02:00,16.637,12.663,9.111,13.159
2020-04-11 14:29:08+02:00,17.0,14.477,8.19,13.359
2020-04-11 14:29:38+02:00,17.965,14.801,10.285,13.359
2020-04-11 14:30:10+02:00,17.715,15.827,11.088,12.759
2020-04-11 14:30:40+02:00,18.553,12.876,10.692,11.759
2020-04-11 14:31:10+02:00,17.684,15.823,8.435,11.359
2020-04-11 14:31:40+02:00,19.643,13.69,10.957,11.759
