Date and Time,input_3
2020-04-12 22:50:34+02:00,14.213
2020-04-12 22:51:04+02:00,13.088
2020-04-12 22:51:34+02:00,12.479
2020-04-12 22:52:04+02:00,14.763
2020-04-12 22:52:34+02:00,14.087
2020-04-12 22:53:04+02:00,13.233
2020-04-12 22:53:34+02:00,12.714
2020-04-12 22:54:04+02:00,15.879
2020-04-12 22:54:34+02:00,13.772
2020-04-12 22:55:04+02:00,15.553
2020-04-12 22:55:34+02:00,12.36
2020-04-12 22:56:04+02:00,12.674
2020-04-12 22:56:34+02:00,14.641
2020-04-12 22:57:04+02:00,15.801
2020-04-12 22:57:34+02:00,13.293
2020-04-12 22:58:04+02:00,14.311
2020-04-12 22:58:34+02:00,15.622
2020-04-12 22:59:04+02:00,12.416
2020-04-12 22:59:34+02:00,14.039
2020-04-12 23:00:04+02:00,14.787
2020-04-12 23:00:34+02:00,14.794
2020-04-12 23:01:04+02:00,12.928
2020-04-12 23:01:34+02:00,13.169
2020-04-12 23:02:04+02:00,12.294
2020-04-12 23:02:34+02:00,14.099
2020-04-12 23:03:04+02:00,15.687
2020-04-12 23:03:34+02:00,14.886
2020-04-12 23:04:04+02:00,12.16
2020-04-12 23:04:35+02:00,14.958
2020-04-12 23:05:05+02:00,12.201
2020-04-12 23:05:35+02:00,15.235
2020-04-12 23:06:05+02:00,12.885
2020-04-12 23:06:35+02:00,14.368
2020-04-12 23:07:05+02:00,12.16
2020-04-12 23:07:35+02:00,14.19
2020-04-12 23:08:05+02:00,12.026
2020-04-12 23:08:35+02:00,14.08
2020-04-12 23:09:05+02:00,14.248
2020-04-12 23:09:35+02:00,14.462
2020-04-12 23:10:05+02:00,12.85
2020-04-12 23:10:35+02:00,15.259
2020-04-12 23:11:05+02:00,12.618
2020-04-12 23:11:35+02:00,15.651
2020-04-12 23:12:05+02:00,14.252
2020-04-12 23:12:35+02:00,15.413
2020-04-12 23:13:05+02:00,13.261
2020-04-12 23:13:35+02:00,12.219
2020-04-12 23:14:05+02:00,15.79
2020-04-12 23:14:35+02:00,14.36
2020-04-12 23:15:05+02:00,12.816
2020-04-12 23:15:35+02:00,15.729
2020-04-12 23:16:05+02:00,13.654
2020-04-12 23:16:35+02:00,13.621
2020-04-12 23:17:05+02:00,12.204
2020-04-12 23:17:35+02:00,15.159
2020-04-12 23:18:05+02:00,15.136
2020-04-12 23:18:35+02:00,14.286
2020-04-12 23:19:06+02:00,15.253
2020-04-12 23:19:36+02:00,13.103
2020-04-12 23:20:06+02:00,13.164
2020-04-12 23:20:36+02:00,15.337
2020-04-12 23:21:06+02:00,14.786
2020-04-12 23:21:36+02:00,12.897
2020-04-12 23:22:06+02:00,12.475
2020-04-12 23:22:36+02:00,14.078
2020-04-12 23:23:06+02:00,13.916
2020-04-12 23:23:36+02:00,14.477
2020-04-12 23:24:06+02:00,13.497
2020-04-12 23:24:36+02:00,13.232
2020-04-12 23:25:06+02:00,15.322
2020-04-12 23:25:36+02:00,13.895
2020-04-12 23:26:06+02:00,14.762
2020-04-12 23:26:36+02:00,12.385
2020-04-12 23:27:06+02:00,13.851
2020-04-12 23:27:36+02:00,14.502
2020-04-12 23:28:06+02:00,14.966
2020-04-12 23:28:36+02:00,13.179
2020-04-12 23:29:06+02:00,15.557
2020-04-12 23:29:36+02:00,13.461
2020-04-12 23:30:06+02:00,14.228
2020-04-12 23:30:36+02:00,14.226
2020-04-12 23:31:06+02:00,15.91
2020-04-12 23:31:36+02:00,12.489
2020-04-12 23:32:06+02:00,13.905
2020-04-12 23:32:36+02:00,15.51
2020-04-12 23:33:06+02:00,13.717
2020-04-12 23:33:36+02:00,15.966
2020-04-12 23:34:07+02:00,13.389
2020-04-12 23:34:37+02:00,13.996
2020-04-12 23:35:07+02:00,12.295
2020-04-12 23:35:37+02:00,14.679
2020-04-12 23:36:07+02:00,15.605
2020-04-12 23:36:37+02:00,15.064
2020-04-12 23:37:07+02:00,15.23
2020-04-12 23:37:37+02:00,14.329
2020-04-12 23:38:07+02:00,14.396
2020-04-12 23:38:37+02:00,14.939
2020-04-12 23:39:07+02:00,14.231
2020-04-12 23:39:37+02:00,12.236
2020-04-12 23:40:07+02:00,12.894
2020-04-12 23:40:37+02:00,15.158
2020-04-12 23:41:07+02:00,15.354
2020-04-12 23:41:37+02:00,15.503
2020-04-12 23:42:07+02:00,15.1
2020-04-12 23:42:37+02:00,14.243
2020-04-12 23:43:07+02:00,13.476
2020-04-12 23:43:37+02:00,14.66
2020-04-12 23:44:07+02:00,12.951
2020-04-12 23:44:37+02:00,12.973
2020-04-12 23:45:07+02:00,14.755
2020-04-12 23:45:37+02:00,15.014
2020-04-12 23:46:07+02:00,12.223
2020-04-12 23:46:37+02:00,12.095
2020-04-12 23:47:07+02:00,14.381
2020-04-12 23:47:37+02:00,12.762
2020-04-12 23:48:07+02:00,14.016
2020-04-12 23:48:38+02:00,13.204
2020-04-12 23:49:08+02:00,15.977
2020-04-12 23:49:38+02:00,13.056
2020-04-12 23:50:09+02:00,15.512
2020-04-12 23:50:39+02:00,12.233
2020-04-12 23:51:09+02:00,13.359
2020-04-12 23:51:39+02:00,14.698
2020-04-12 23:52:09+02:00,14.683
2020-04-12 23:52:39+02:00,13.188
2020-04-12 23:53:09+02:00,14.878
2020-04-12 23:53:39+02:00,14.475
2020-04-12 23:54:09+02:00,13.509
2020-04-12 23:54:39+02:00,12.421
2020-04-12 23:55:09+02:00,13.986
2020-04-12 23:55:39+02:00,13.046
2020-04-12 23:56:09+02:00,12.571
2020-04-12 23:56:39+02:00,14.561
2020-04-12 23:57:09+02:00,12.947
2020-04-12 23:57:39+02:00,14.848
2020-04-12 23:58:09+02:00,12.087
2020-04-12 23:58:39+02:00,12.078
2020-04-12 23:59:09+02:00,15.2
2020-04-12 23:59:39+02:00,13.849
2020-04-13 00:00:09+02:00,14.57
2020-04-13 00:00:39+02:00,13.017
2020-04-13 00:01:09+02:00,14.198
2020-04-13 00:01:39+02:00,13.024
2020-04-13 00:02:09+02:00,14.222
2020-04-13 00:02:39+02:00,14.501
2020-04-13 00:03:09+02:00,12.61
2020-04-13 00:03:40+02:00,13.263
2020-04-13 00:04:10+02:00,15.359
2020-04-13 00:04:40+02:00,12.469
2020-04-13 00:05:10+02:00,14.189
2020-04-13 00:05:40+02:00,14.528
2020-04-13 00:06:10+02:00,14.962
2020-04-13 00:06:40+02:00,13.348
2020-04-13 00:07:10+02:00,12.624
2020-04-13 00:07:40+02:00,12.674
2020-04-13 00:08:10+02:00,12.118
2020-04-13 00:08:40+02:00,12.343
2020-04-13 00:09:10+02:00,13.091
2020-04-13 00:09:40+02:00,12.584
2020-04-13 00:10:10+02:00,12.594
2020-04-13 00:10:40+02:00,15.703
2020-04-13 00:11:10+02:00,14.64
2020-04-13 00:11:40+02:00,14.342
2020-04-13 00:12:10+02:00,14.766
2020-04-13 00:13:25+02:00,12.997
2020-04-13 00:13:55+02:00,15.816
2020-04-13 00:14:25+02:00,12.835
2020-04-13 00:14:55+02:00,14.846
2020-04-13 00:15:25+02:00,15.043
2020-04-13 00:15:56+02:00,13.274
2020-04-13 00:16:26+02:00,15.843
2020-04-13 00:16:56+02:00,14.567
2020-04-13 00:17:26+02:00,13.743
2020-04-13 00:17:56+02:00,12.826
2020-04-13 00:18:26+02:00,15.013
2020-04-13 00:18:56+02:00,12.861
2020-04-13 00:19:26+02:00,15.983
2020-04-13 00:19:56+02:00,13.831
2020-04-13 00:20:26+02:00,12.271
2020-04-13 00:20:56+02:00,14.669
2020-04-13 00:21:26+02:00,15.185
2020-04-13 00:21:56+02:00,15.055
2020-04-13 00:22:26+02:00,14.198
2020-04-13 00:22:56+02:00,13.958
2020-04-13 00:23:26+02:00,13.107
2020-04-13 00:23:56+02:00,13.542
2020-04-13 00:24:26+02:00,12.659
2020-04-13 00:24:56+02:00,15.273
2020-04-13 00:25:26+02:00,14.438
2020-04-13 00:25:56+02:00,13.991
2020-04-13 00:26:26+02:00,13.246
2020-04-13 00:26:56+02:00,14.451
2020-04-13 00:27:26+02:00,15.154
2020-04-13 00:27:56+02:00,12.954
2020-04-13 00:28:26+02:00,12.096
2020-04-13 00:28:56+02:00,15.508
2020-04-13 00:29:26+02:00,14.979
2020-04-13 00:29:56+02:00,15.291
2020-04-13 00:30:26+02:00,12.285
2020-04-13 00:30:57+02:00,14.008
2020-04-13 00:31:27+02:00,15.413
2020-04-13 00:31:57+02:00,14.026
2020-04-13 00:32:27+02:00,14.269
2020-04-13 00:32:57+02:00,13.248
2020-04-13 00:33:27+02:00,13.076
2020-04-13 00:33:57+02:00,13.749
2020-04-13 00:34:27+02:00,15.986
2020-04-13 00:34:57+02:00,12.37
2020-04-13 00:35:27+02:00,12.731
2020-04-13 00:35:57+02:00,14.27
2020-04-13 00:36:27+02:00,15.255
2020-04-13 00:36:57+02:00,15.685
2020-04-13 00:37:27+02:00,13.357
2020-04-13 00:37:57+02:00,12.06
2020-04-13 00:38:27+02:00,15.804
2020-04-13 00:38:57+02:00,13.917
2020-04-13 00:39:27+02:00,13.494
2020-04-13 00:39:57+02:00,12.464
2020-04-13 00:40:27+02:00,13.78
2020-04-13 00:40:57+02:00,12.065
2020-04-13 00:41:27+02:00,15.596
2020-04-13 00:41:57+02:00,12.538
2020-04-13 00:42:27+02:00,13.156
2020-04-13 00:42:57+02:00,15.529
2020-04-13 00:43:27+02:00,15.455
2020-04-13 00:43:57+02:00,14.781
2020-04-13 00:44:27+02:00,15.086
2020-04-13 00:44:57+02:00,14.769
2020-04-13 00:45:28+02:00,12.769
2020-04-13 00:45:58+02:00,15.916
2020-04-13 00:46:28+02:00,15.12
2020-04-13 00:46:58+02:00,14.644
2020-04-13 00:47:28+02:00,12.768
2020-04-13 00:47:58+02:00,15.013
2020-04-13 00:48:28+02:00,15.519
2020-04-13 00:48:58+02:00,14.23
2020-04-13 00:49:28+02:00,13.509
2020-04-13 00:49:58+02:00,15.443
2020-04-13 00:50:28+02:00,13.584
2020-04-13 00:50:58+02:00,14.695
2020-04-13 00:51:28+02:00,12.123
2020-04-13 00:51:58+02:00,14.16
2020-04-13 00:52:28+02:00,15.748
