Date and Time,input_4,input_3,input_1
2020-04-07 14:00:08+02:00,16.035,14.472,13.412
2020-04-07 14:00:38+02:00,17.383,14.789,13.612
2020-04-07 14:01:08+02:00,16.803,15.102,13.012
2020-04-07 14:01:38+02:00,19.757,12.683,13.212
2020-04-07 14:02:08+02:00,16.954,12.153,13.012
2020-04-07 14:02:38+02:00,16.674,14.217,13.012
2020-04-07 14:03:08+02:00,17.294,14.539,12.612
2020-04-07 14:03:38+02:00,16.263,13.622,13.412
2020-04-07 14:04:09+02:00,19.668,13.422,13.612
2020-04-07 14:04:39+02:00,17.212,14.442,14.012
2020-04-07 14:05:09+02:00,17.716,13.166,14.212
2020-04-07 14:05:39+02:00,16.394,15.649,14.412
2020-04-07 14:06:09+02:00,17.515,12.86,14.612
2020-04-07 14:06:39+02:00,17.726,13.681,16.012
2020-04-07 14:07:09+02:00,17.435,14.844,16.412
2020-04-07 14:07:39+02:00,17.201,14.943,16.212
2020-04-07 14:08:09+02:00,18.572,13.044,16.212
2020-04-07 14:08:39+02:00,18.188,14.844,16.212
2020-04-07 14:09:09+02:00,16.345,12.554,16.012
2020-04-07 14:09:39+02:00,18.854,15.116,16.012
2020-04-07 14:10:09+02:00,17.167,14.226,15.612
2020-04-07 14:10:39+02:00,16.626,14.476,16.012
2020-04-07 14:11:09+02:00,16.234,12.089,16.612
2020-04-07 14:11:39+02:00,19.181,14.893,16.012
2020-04-07 14:12:09+02:00,19.444,14.926,16.412
2020-04-07 14:12:39+02:00,18.604,14.792,16.812
2020-04-07 14:13:09+02:00,19.393,14.811,15.612
2020-04-07 14:13:39+02:00,17.031,13.078,14.812
2020-04-07 14:14:09+02:00,18.383,13.748,14.812
2020-04-07 14:14:39+02:00,18.947,15.972,15.012
2020-04-07 14:15:09+02:00,16.489,12.682,13.812
2020-04-07 14:15:39+02:00,19.54,13.783,12.812
2020-04-07 14:16:09+02:00,19.991,13.162,13.412
2020-04-07 14:16:39+02:00,18.085,15.944,13.012
2020-04-07 14:17:09+02:00,16.85,13.465,13.212
2020-04-07 14:17:39+02:00,18.764,12.251,14.412
2020-04-07 14:18:09+02:00,16.663,12.795,14.212
2020-04-07 14:18:40+02:00,19.712,15.542,14.412
2020-04-07 14:19:10+02:00,19.487,14.866,15.212
2020-04-07 14:19:40+02:00,17.308,14.652,15.812
