Date and Time,input_8,input_1
2020-04-12 22:53:04+02:00,8.111,19.811
2020-04-12 22:56:04+02:00,7.355,19.611
2020-04-12 22:59:04+02:00,8.669,19.411
2020-04-12 23:02:04+02:00,7.757,19.611
2020-04-12 23:05:05+02:00,5.352,19.411
2020-04-12 23:08:05+02:00,6.184,19.011
2020-04-12 23:11:05+02:00,5.295,18.411
2020-04-12 23:14:05+02:00,8.679,18.411
2020-04-12 23:17:05+02:00,8.763,19.011
2020-04-12 23:20:06+02:00,7.286,19.811
2020-04-12 23:23:06+02:00,5.641,17.811
2020-04-12 23:26:06+02:00,7.004,18.811
2020-04-12 23:29:06+02:00,7.862,20.011
2020-04-12 23:32:06+02:00,5.851,19.211
2020-04-12 23:35:07+02:00,8.373,19.811
2020-04-12 23:38:07+02:00,6.916,19.611
2020-04-12 23:41:07+02:00,5.04,19.811
2020-04-12 23:44:07+02:00,5.311,19.011
2020-04-12 23:47:07+02:00,6.312,19.811
2020-04-12 23:50:09+02:00,5.587,17.911
2020-04-12 23:53:09+02:00,6.381,17.511
2020-04-12 23:56:09+02:00,7.184,18.111
2020-04-12 23:59:09+02:00,7.985,18.911
2020-04-13 00:02:09+02:00,6.587,15.911
2020-04-13 00:05:10+02:00,7.742,16.911
2020-04-13 00:08:10+02:00,7.661,17.111
2020-04-13 00:11:10+02:00,5.454,16.911
2020-04-13 00:14:55+02:00,5.302,8.82
2020-04-13 00:17:56+02:00,7.409,7.62
2020-04-13 00:20:56+02:00,5.11,7.02
2020-04-13 00:23:56+02:00,5.531,8.02
2020-04-13 00:26:56+02:00,5.674,5.82
2020-04-13 00:29:56+02:00,5.366,6.62
2020-04-13 00:32:57+02:00,5.332,7.82
2020-04-13 00:35:57+02:00,6.771,6.62
2020-04-13 00:38:57+02:00,6.06,7.02
2020-04-13 00:41:57+02:00,6.104,7.42
2020-04-13 00:44:57+02:00,6.635,7.02
2020-04-13 00:47:58+02:00,5.176,4.62
2020-04-13 00:50:58+02:00,7.997,6.62
2020-04-13 00:53:58+02:00,7.785,4.62
2020-04-13 00:56:59+02:00,5.32,5.32
2020-04-13 01:00:00+02:00,6.607,6.12
2020-04-13 01:03:00+02:00,6.863,5.92
2020-04-13 01:06:00+02:00,8.113,6.12
2020-04-13 01:09:01+02:00,7.267,6.82
2020-04-13 01:12:01+02:00,6.172,7.02
2020-04-13 01:15:02+02:00,7.716,9.02
2020-04-13 01:18:02+02:00,7.992,7.22
2020-04-13 01:21:02+02:00,6.827,7.82
