Date and Time,input_3,input_1
2020-04-12 22:50:34+02:00,14.213,19.611
2020-04-12 22:51:04+02:00,13.088,18.811
2020-04-12 22:51:34+02:00,12.479,19.211
2020-04-12 22:52:04+02:00,14.763,18.811
2020-04-12 22:52:34+02:00,14.087,19.011
2020-04-12 22:53:04+02:00,13.233,19.811
2020-04-12 22:53:34+02:00,12.714,19.411
2020-04-12 22:54:04+02:00,15.879,20.011
2020-04-12 22:54:34+02:00,13.772,19.811
2020-04-12 22:55:04+02:00,15.553,19.811
2020-04-12 22:55:34+02:00,12.36,19.611
2020-04-12 22:56:04+02:00,12.674,19.611
2020-04-12 22:56:34+02:00,14.641,19.811
2020-04-12 22:57:04+02:00,15.801,19.611
2020-04-12 22:57:34+02:00,13.293,19.211
2020-04-12 22:58:04+02:00,14.311,20.011
2020-04-12 22:58:34+02:00,15.622,19.211
2020-04-12 22:59:04+02:00,12.416,19.411
2020-04-12 22:59:34+02:00,14.039,19.411
2020-04-12 23:00:04+02:00,14.787,18.811
2020-04-12 23:00:34+02:00,14.794,19.011
2020-04-12 23:01:04+02:00,12.928,20.011
2020-04-12 23:01:34+02:00,13.169,20.011
2020-04-12 23:02:04+02:00,12.294,19.611
2020-04-12 23:02:34+02:00,14.099,19.211
2020-04-12 23:03:04+02:00,15.687,19.411
2020-04-12 23:03:34+02:00,14.886,19.411
2020-04-12 23:04:04+02:00,12.16,19.811
2020-04-12 23:04:35+02:00,14.958,19.411
2020-04-12 23:05:05+02:00,12.201,19.411
2020-04-12 23:05:35+02:00,15.235,19.811
2020-04-12 23:06:05+02:00,12.885,19.611
2020-04-12 23:06:35+02:00,14.368,19.811
2020-04-12 23:07:05+02:00,12.16,19.811
2020-04-12 23:07:35+02:00,14.19,19.611
2020-04-12 23:08:05+02:00,12.026,19.011
2020-04-12 23:08:35+02:00,14.08,18.411
2020-04-12 23:09:05+02:00,14.248,19.211
2020-04-12 23:09:35+02:00,14.462,19.011
2020-04-12 23:10:05+02:00,12.85,18.011
2020-04-12 23:10:35+02:00,15.259,18.211
2020-04-12 23:11:05+02:00,12.618,18.411
2020-04-12 23:11:35+02:00,15.651,19.611
2020-04-12 23:12:05+02:00,14.252,19.211
2020-04-12 23:12:35+02:00,15.413,19.211
2020-04-12 23:13:05+02:00,13.261,19.611
2020-04-12 23:13:35+02:00,12.219,19.011
2020-04-12 23:14:05+02:00,15.79,18.411
